taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"mucifluus",,"",,"",,"Cortinarius mucifluus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 942","","","",,""
,"Cortinarius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIX: 459","","","",,""
,"mucifluus",,"",,"",,"Cortinarius mucifluus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIX: 459","","","",,""
,"Cylindrosporium",,"",,"",,"","","","","","","","","","","Genus","Dearn.","",,"Mycologia,  16(4): 171 (1924)","","","",,""
,"brevispinum",,"",,"",,"Cylindrosporium brevispinum","","","","","","","","","","Species","Dearn.","ICBN",,"Mycologia,  16(4): 171 (1924)","","Assumed Valid","",,""
,"Cylindrosporium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXVI: 1264","","","",,""
,"brevispinum",,"",,"",,"Cylindrosporium brevispinum","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXVI: 1264","","","",,""
,"Diplodia",,"",,"",,"","","","","","","","","","","Genus","Westend.","",,"Bull. Soc. R. bot. Belg., sér. 2 12(7) (1857)","","","",,""
,"aucubae",,"",,"",,"Diplodia aucubae","","","","","","","","","","Species","Westend.","ICBN",,"Bull. Soc. R. bot. Belg., sér. 2 12(7) (1857)","","Assumed Valid","",,""
,"Diplodia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. III: 361","","","",,""
,"aucubae",,"",,"",,"Diplodia aucubae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. III: 361","","","",,""
,"Diplodia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 207","","","",,""
,"aucubae",,"",,"",,"Diplodia aucubae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 207","","","",,""
,"Diplodia",,"",,"",,"","","","","","","","","","","Genus","Sacc.","",,"Michelia,  2(no. 6): 105 (1880)","","","",,""
,"elaeospora",,"",,"",,"Diplodia elaeospora","","","","","","","","","","Species","Sacc.","ICBN",,"Michelia,  2(no. 6): 105 (1880)","","Assumed Valid","",,""
,"Diplodia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. III: 369","","","",,""
,"elaeospora",,"",,"",,"Diplodia elaeospora","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. III: 369","","","",,""
,"Diplodia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 209","","","",,""
,"elaeospora",,"",,"",,"Diplodia elaeospora","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 209","","","",,""
,"Endophyllum",,"",,"",,"","","","","","","","","","","Genus","Poir.","",,"Bull. Soc. mycol. Fr.,  18: xxxxii (1902)","","","",,""
,"centranthi-rubri",,"",,"",,"Endophyllum centranthi-rubri","","","","","","","","","","Species","Poir.","ICBN",,"Bull. Soc. mycol. Fr.,  18: xxxxii (1902)","","Assumed Valid","",,""
